timestamp,VWC,temp_soil,temp_room,temp_soil_shifted_1,temp_soil_shifted_2,temp_soil_shifted_3,temp_soil_shifted_4,temp_soil_shifted_5,temp_soil_shifted_6,temp_soil_predict
2017/11/22 15:05,0.365,21.5,19.53,21.5,21.5,21.5,21.5,21.6,21.6,21.479
2017/11/22 15:10,0.365,21.5,19.53,21.5,21.5,21.5,21.5,21.5,21.6,21.4814
2017/11/22 15:15,0.365,21.5,19.48,21.5,21.5,21.5,21.5,21.5,21.5,21.4835
2017/11/22 15:20,0.365,21.5,19.44,21.5,21.5,21.5,21.5,21.5,21.5,21.483
2017/11/22 15:25,0.365,21.5,19.34,21.5,21.5,21.5,21.5,21.5,21.5,21.4817
2017/11/22 15:30,0.365,21.5,19.32,21.5,21.5,21.5,21.5,21.5,21.5,21.4814
2017/11/22 15:35,0.365,21.5,19.27,21.5,21.5,21.5,21.5,21.5,21.5,21.4808
2017/11/22 15:40,0.365,21.5,19.22,21.5,21.5,21.5,21.5,21.5,21.5,21.4801
2017/11/22 15:45,0.364,21.4,19.2,21.5,21.5,21.5,21.5,21.5,21.5,21.4799
2017/11/22 15:50,0.365,21.4,19.15,21.4,21.5,21.5,21.5,21.5,21.5,21.3759
2017/11/22 15:55,0.365,21.4,19.08,21.4,21.4,21.5,21.5,21.5,21.5,21.3757
2017/11/22 16:00,0.365,21.3,19.01,21.4,21.4,21.4,21.5,21.5,21.5,21.3752
2017/11/22 16:05,0.364,21.3,18.98,21.3,21.4,21.4,21.4,21.5,21.5,21.2699
2017/11/22 16:10,0.364,21.3,18.96,21.3,21.3,21.4,21.4,21.4,21.5,21.2728
2017/11/22 16:15,0.364,21.3,18.94,21.3,21.3,21.3,21.4,21.4,21.4,21.2757
2017/11/22 16:20,0.364,21.3,18.94,21.3,21.3,21.3,21.3,21.4,21.4,21.274
2017/11/22 16:25,0.364,21.3,18.94,21.3,21.3,21.3,21.3,21.3,21.4,21.2764
2017/11/22 16:30,0.364,21.3,18.91,21.3,21.3,21.3,21.3,21.3,21.3,21.2788
2017/11/22 16:35,0.364,21.3,18.91,21.3,21.3,21.3,21.3,21.3,21.3,21.2788
2017/11/22 16:40,0.364,21.2,18.91,21.3,21.3,21.3,21.3,21.3,21.3,21.2788
2017/11/22 16:45,0.364,21.2,18.91,21.2,21.3,21.3,21.3,21.3,21.3,21.1755
2017/11/22 16:50,0.364,21.2,18.91,21.2,21.2,21.3,21.3,21.3,21.3,21.1763
2017/11/22 16:55,0.364,21.2,18.91,21.2,21.2,21.2,21.3,21.3,21.3,21.1767
2017/11/22 17:00,0.364,21.1,18.89,21.2,21.2,21.2,21.2,21.3,21.3,21.1748
2017/11/22 17:05,0.364,21.1,18.86,21.1,21.2,21.2,21.2,21.2,21.3,21.0735
2017/11/22 17:10,0.364,21.1,18.86,21.1,21.1,21.2,21.2,21.2,21.2,21.077
2017/11/22 17:15,0.364,21.1,18.86,21.1,21.1,21.1,21.2,21.2,21.2,21.0774
2017/11/22 17:20,0.364,21.1,18.86,21.1,21.1,21.1,21.1,21.2,21.2,21.0758
2017/11/22 17:25,0.364,21.1,18.86,21.1,21.1,21.1,21.1,21.1,21.2,21.0782
2017/11/22 17:30,0.364,21.1,18.84,21.1,21.1,21.1,21.1,21.1,21.1,21.0807
